"area","rooms","property_sub_type","median_sales_amount_2022","median_sales_area_sqm_2022","median_sales_per_sqm_2022","median_rent_2022","median_rent_area_sqm_2022","median_rent_per_sqm_2022","no_of_transactions_2022","gross_rental_yield_2022","yoy_growth_2021","yoy_growth_2020","yoy_growth_2019","yoy_growth_2018","yoy_growth_2017","yoy_growth_2016"
"ARJAN","3 B/R","Flat","1616799.0","153.62","10524.665","80000.0","138.62","577.1172990910402","7","0.054834742668679534","-0.04139793","0.34029734","0.015630126","0.13909793","-0.060251713",
"AL FURJAN","2 B/R","Flat","1209000.0","107.22","11275.881","69300.0","129.56","534.8873108984254","249","0.047436410296381334","0.3844527","0.41054213","0.3363353","0.17524993","0.1268847","0.15826488"
"JUMEIRAH LAKES TOWERS","5 B/R","Flat","8300000.0","429.55","19322.547","92000.0","184.0","500.0","8","0.025876505992432738","-0.007074535",,"1.1933477",,"1.5962198",
"JUMEIRAH LAKES TOWERS","3 B/R","Flat","1555160.0","141.24","11010.762","100000.0","142.0","704.2253521126761","143","0.06395791409357858","0.28775632","0.0847919","0.55540204","0.1899395","0.08757913","0.09925938"
"ARABIAN RANCHES II","4 B/R","Villa","2575000.0","273.78","9405.362","170000.0","273.68","621.1634025138848","52","0.06604353797240811","0.2200352","0.44623125","0.44640183","-0.03032887","-0.020782173",
"ARABIAN RANCHES I","4 B/R","Villa","2355000.0","287.41","8193.869","135000.0","287.0","470.38327526132406","44","0.05740673510749341","0.09950018","0.4037788","0.5707165","0.22344983","0.21302783","0.08362138"
"TILAL AL GHAF","4 B/R","Villa","2200000.0","207.85","10584.556",,,,"43",,"0.18408966","0.27894664",,,,
"Al Yelayiss 2","3 B/R","Villa","1710888.0","187.92","9104.343","105000.0","188.0","558.5106382978723","339","0.06134551962689308","0.013026357","0.40704513","0.6413971","0.27119648",,
"DOWN TOWN JABAL ALI","Studio","Flat","429000.0","32.99","13003.939","29000.0","34.0","852.9411764705883","92","0.06559098337432019","0.10964739","-0.08452439","-0.077646196","-0.08007145","-0.08950764",
"DUBAI INVESTMENT PARK FIRST","3 B/R","Villa","3300000.0","375.0","8800.0","154000.0","302.65","508.83859243350406","26","0.0578225673219891","-0.10425216","-0.13018233","0.43462956","0.26923072","0.044965267","0.046780944"
"LIVING LEGENDS","2 B/R","Flat","3985571.0","308.56","12916.681","55000.0","135.0","407.4074074074074","4","0.031541184457777816","1.5575027","1.5350227","-0.060581267","1.2872722","0.5409261","1.0053864"
"ARABIAN RANCHES III","4 B/R","Villa","2250000.0","235.26","9563.887",,,,"99",,"-0.026051044","0.22110057","0.21919012",,,
"AL KHAIL HEIGHTS","3 B/R","Flat","1150000.0","189.43","6070.844","75000.0","189.23","396.3430745653438","3","0.06528631916893896",,,"0.60271525","-0.25393182",,
